term,doc_freq,total,source_fields,gene_ids
l2,14,288,RELATED locus_synonym,agp2 (tpzm:0008850); agpsl1 (tpzm:0008853); ole3 (tpzm:0017881)
glycosyltransferase,14,220,RELATED locus_name; RELATED locus_synonym,Zm00001d031336 (tpzm:0006400); Zm00014ba364880 (tpzm:0008478); pglcat7 (tpzm:0019577); umc1249 (tpzm:0023572); umc2616 (tpzm:0024165); xat2 (tpzm:0024675); xat4 (tpzm:0024677); xat5 (tpzm:0024678); xat8 (tpzm:0024681); xt9 (tpzm:0024711)
a1,14,90,EXACT jschnable_name; EXACT locus; EXACT maizegdb_name; NAME (gene symbol),a1 (tpzm:0008482)
transposase,14,55,EXACT locus_synonym,cl34747_1c (tpzm:0011429)
pk,14,51,EXACT locus_synonym,Zm00001d026619 (tpzm:0006230); gsk2 (tpzm:0014521)
r1,14,41,EXACT jschnable_name; EXACT locus; EXACT maizegdb_name; NAME (gene symbol),r1 (tpzm:0020929)
td,14,40,EXACT locus_synonym,LOC100274380 (tpzm:0003104)
sec,14,32,EXACT locus_synonym,Zm00001eb017010 (tpzm:0007363)
hexokinase,14,28,EXACT locus_synonym,Zm00001eb405610 (tpzm:0008374)
chr5,14,25,EXACT locus; EXACT locus_synonym; NAME (gene symbol),chr5 (tpzm:0010649); cl48276_1 (tpzm:0011657)
diffuse,14,24,EXACT locus_synonym,c2 (tpzm:0009957)
4cl,13,799,RELATED locus_synonym,Zm00001d003319 (tpzm:0005365); Zm00001d011443 (tpzm:0005660); Zm00001d015417 (tpzm:0005799); acsn2 (tpzm:0008741); acsn3 (tpzm:0008742); bm5 (tpzm:0009664); ccl16 (tpzm:0010252); ccl2 (tpzm:0010256); ccl22 (tpzm:0010259); ccl24 (tpzm:0010261); ccl27 (tpzm:0010264); ccl3 (tpzm:0010267); ccl30 (tpzm:0010268); ccl4 (tpzm:0010270); ccl5 (tpzm:0010271); ccl7 (tpzm:0010273); ccl9 (tpzm:0010275)
esterase,13,130,RELATED locus_synonym,Zm00001d007351 (tpzm:0005493); Zm00001d046136 (tpzm:0006956); Zm00001d053425 (tpzm:0007261); umc2141 (tpzm:0023973); umc2147 (tpzm:0023975)
p3,13,126,RELATED locus_synonym,Zm00001eb272850 (tpzm:0008031); arpp3 (tpzm:0009255)
a2,13,75,NAME (gene symbol); RELATED jschnable_name; RELATED locus; RELATED locus_synonym; RELATED maizegdb_name,a2 (tpzm:0008483); xat2 (tpzm:0024675)
c1,13,59,EXACT jschnable_name; EXACT locus; NAME (gene symbol),c1 (tpzm:0009956)
lob,13,38,RELATED locus_synonym,lbd14 (tpzm:0015660); lbd25 (tpzm:0015669)
